ID,Name,Nationality,Age,Overall rating,Team & Contract,Height,Weight,foot,Best position,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,Body type
9145,26C. Kabuye,Uganda,22,59,Mjällby AIF,183.0,75.0,Right,ST,0.5,257,235,337,292,220,49,Normal
9146,23A. Yakoub,Syria,20,57,IK Sirius,180.0,70.0,Right,CAM,0.4,251,248,318,270,227,50,Normal
9147,A. Faqa,Syria,22,57,AIK,187.0,83.0,Right,CB,0.35000000000000003,218,230,266,293,221,168,Normal
9148,24S. Melgar,Bolivia,21,61,Palmaflor del Trópico,182.0,78.0,Right,ST,0.675,286,281,283,326,251,67,Normal
9149,26J. Löffelsend,Germany,27,66,San Diego FC,180.0,75.0,Right,CDM,0.975,258,278,326,295,277,187,Normal
9150,23J. Karadogan,Wales,18,52,Newport County,177.0,80.0,Right,CAM,0.18,216,242,316,244,236,128,Lean
9151,25E. Ovendale,Wales,19,51,Derry City,180.0,70.0,Right,GK,0.11,62,68,189,156,82,31,Lean
9152,23D. Moreno,Chile,20,55,Unión La Calera,175.0,72.0,Right,ST,0.275,231,193,296,276,197,43,Normal
9153,23B. Sagal,Chile,23,59,CD Ñublense,180.0,78.0,Right,ST,0.35000000000000003,238,203,301,311,203,39,Lean
9154,23F. Haddad,Palestine,19,54,Unión La Calera,167.0,57.0,Right,CAM,0.23,219,244,335,218,237,128,Lean
9155,22A. Yilmuz,Türkiye,25,61,Türkgücü München,188.0,78.0,Right,GK,0.3,53,67,203,213,84,29,Normal
9156,22R. Hagelmeister,Austria,33,62,Türkgücü München,172.0,68.0,Right,RB,0.21,211,215,339,304,264,188,Normal
9157,22M. Borgers,Germany,21,63,Türkgücü München,189.0,85.0,Left,CB,0.675,181,166,275,284,229,180,Stocky
9158,22P. Carlstein,Germany,25,63,Türkgücü München,196.0,85.0,Right,CB,0.5750000000000001,219,198,266,298,225,177,Normal
9159,22M. Zuzenhof,Germany,17,61,Türkgücü München,179.0,67.0,Left,LM,0.65,236,269,376,260,228,152,Lean
9160,22C. Manapo,Ghana,21,64,Türkgücü München,168.0,67.0,Right,CDM,0.875,201,236,368,286,256,188,Stocky
9161,22H. Frenschl,Austria,29,62,Türkgücü München,178.0,76.0,Left,CDM,0.35000000000000003,238,276,352,353,292,183,Normal
9162,22S. Sohlmacher,Germany,29,63,Türkgücü München,185.0,75.0,Right,CM,0.47500000000000003,274,248,333,322,287,173,Normal
9163,22C. Melderem,Türkiye,25,66,Türkgücü München,179.0,71.0,Right,RM,0.9500000000000001,271,317,387,257,225,82,Lean
9164,22S. von Kogelsberg,Germany,21,64,Türkgücü München,191.0,82.0,Left,ST,0.9,308,267,300,355,279,135,Lean
9165,22M. Gulpa,Germany,25,65,Türkgücü München,176.0,69.0,Right,CAM,0.9,285,312,370,268,251,97,Normal
9166,22S. Topaltop,Türkiye,33,64,Türkgücü München,177.0,75.0,Right,ST,0.375,259,247,347,325,270,79,Stocky
9167,22D. Kleinhensl,Germany,21,60,Türkgücü München,183.0,76.0,Right,GK,0.47500000000000003,62,64,276,216,94,32,Normal
9168,22S. Maronkevic,Germany,21,61,Türkgücü München,182.0,75.0,Right,RM,0.675,236,255,372,279,224,95,Normal
9169,22R. Fahrnheider,Germany,17,55,Türkgücü München,184.0,75.0,Left,LM,0.3,263,267,352,296,206,67,Lean
9170,22M. Polterkamp,Germany,25,60,Türkgücü München,186.0,78.0,Right,CB,0.3,211,190,323,269,198,180,Normal
9171,22J. Deeker,Germany,25,58,Türkgücü München,183.0,69.0,Right,CDM,0.23,212,222,352,254,231,183,Lean
9172,22A. Haloglu,Germany,29,62,Türkgücü München,188.0,79.0,Right,ST,0.4,271,205,313,333,256,100,Normal
9173,T. Gillier,Chile,21,67,CF Montréal,186.0,73.0,Right,GK,2.2,59,62,170,154,73,30,Normal
9174,V. Kochergin,Ukraine,29,70,Raków Częstochowa,178.0,70.0,Right,CM,1.6,315,333,339,340,311,163,Normal
9175,D. Pizarro,Chile,20,64,Racing Club,187.0,85.0,Right,ST,1.4,258,251,364,325,259,36,Normal
9176,22N. O'Connell,Australia,20,52,Brisbane Roar,178.0,80.0,Right,GK,0.17,60,69,156,174,83,31,Normal
9177,22J. McLoughlin,Australia,19,51,Macarthur FC,180.0,75.0,Right,RWB,0.13,199,210,311,266,207,139,Normal
9178,22A. Coyne,Australia,17,52,Perth Glory,178.0,70.0,Left,CB,0.17,162,162,284,237,186,154,Lean
9179,F. Loftesnes-Bjune,Norway,20,62,Sandefjord Fotball,182.0,75.0,Right,RB,0.925,258,259,329,262,254,173,Lean
9180,D. Gjengaar,Norway,21,62,New York Red Bulls,177.0,75.0,Right,RM,0.975,254,245,386,290,256,154,Normal
9181,24J. Skau,Norway,20,55,Odds Ballklubb,183.0,75.0,Right,CAM,0.3,219,232,298,245,235,155,Normal
9182,22K. Bauer,Germany,17,59,DSC Arminia Bielefeld,185.0,78.0,Right,CB,0.525,205,193,273,257,222,184,Normal
9183,22C. Dogan,Türkiye,16,59,DSC Arminia Bielefeld,177.0,72.0,Right,ST,0.7000000000000001,262,229,294,284,232,62,Normal
9184,S. Trimboli,Italy,23,66,Mantova,176.0,69.0,Right,CM,1.8,275,305,324,285,301,189,Normal
9185,L. Noubi,Belgium,20,69,RC Deportivo de La Coruña,184.0,81.0,Right,CB,2.9,219,245,343,295,235,202,Stocky
9186,A. Osorio,Argentina,23,69,Defensa y Justicia,182.0,80.0,Right,ST,2.8,302,264,375,379,307,101,Normal
9187,24Kim Ju Hyeong,Korea Republic,23,51,Gangwon FC,188.0,84.0,Right,CB,0.08,162,146,243,243,186,153,Normal
9188,22Kim Joo Hyeong,Korea Republic,18,50,Gangwon FC,183.0,75.0,Right,ST,0.11,242,202,286,236,200,57,Normal
9189,22Y. Beaka,France,18,59,Paris FC,192.0,78.0,Right,ST,0.5750000000000001,265,251,308,295,232,63,Lean
9190,M. Rijks,Netherlands,22,62,Bristol Rovers,186.0,84.0,Right,ST,0.65,275,252,332,331,266,55,Normal
9191,R. Shein,Estonia,21,67,Fredrikstad FK,185.0,77.0,Right,CAM,2.3,266,302,351,327,314,188,Normal
9192,22M. Steffen,Netherlands,18,54,Vitesse,189.0,77.0,Right,CB,0.23,153,145,240,245,165,180,Lean
9193,26P. Baráth,Hungary,23,66,Raków Częstochowa,185.0,78.0,Right,CDM,1.2,280,312,306,320,303,186,Normal
9194,25T. Uchino,Japan,23,63+1,Fortuna Düsseldorf,177.0,69.0,Right,RB,0.675,210,235,360,239,236,184,Normal
9195,22W. Harada,Japan,24,60,Sagan Tosu,178.0,73.0,Right,RWB,0.35000000000000003,237,269,325,268,243,169,Normal
9196,S. Negru,Republic of Ireland,22,63,Tranmere Rovers,186.0,74.0,Right,CB,0.9,198,193,288,276,223,187,Normal
9197,25G. Arubi,Republic of Ireland,20,52,Waterford FC,183.0,69.0,Right,ST,0.18,230,222,299,223,215,69,Lean
9198,23M. Mansfeld,Germany,21,57,Fortuna Düsseldorf,194.0,85.0,Right,ST,0.375,273,254,288,303,245,102,Normal
9199,23I. Kort,Suriname,22,60,Sparta Rotterdam,192.0,84.0,Right,GK,0.525,50,72,155,170,74,33,Normal
9200,M. Dekker,Netherlands,21,67,AZ Alkmaar,191.0,78.0,Left,CB,2.1,245,228,269,285,276,201,Lean
9201,22A. Montaño,Mexico,19,60,Mazatlán FC,174.0,65.0,Left,LM,0.5750000000000001,261,290,333,280,261,68,Lean
9202,D. Baron,Netherlands,22,57,FC Groningen,190.0,78.0,Right,GK,0.325,58,67,157,169,78,29,Normal
9203,22R. van Mameren,Netherlands,20,55,SC Cambuur,178.0,73.0,Right,CAM,0.275,243,261,301,278,279,144,Normal
9204,22T. Rier,Netherlands,21,57,SC Cambuur,183.0,76.0,Right,CB,0.3,186,159,276,262,202,189,Normal
9205,23T. Renkel,Netherlands,18,54,SC Cambuur,197.0,83.0,Right,GK,0.24,65,80,154,172,78,29,Normal
9206,23C. Thiam,England,20,56,Fleetwood Town,178.0,77.0,Right,RB,0.3,217,232,341,277,227,155,Lean
9207,T. Rothe,Germany,20,73,1. FC Union Berlin,192.0,85.0,Left,LB,6.5,326,319,302,333,304,208,Lean
9208,25L. van Gelderen,Suriname,23,65,RKC Waalwijk,178.0,72.0,Right,CB,1.0,256,270,341,299,267,194,Normal
9209,23A. Jok,Australia,21,53,Central Coast Mariners,188.0,78.0,Right,ST,0.21,223,222,313,287,184,50,Lean
9210,22A. Polyarus,Ukraine,28,63,Bruk-Bet Termalica Nieciecza,179.0,71.0,Right,LM,0.47500000000000003,259,283,330,298,252,121,Normal
9211,23Vere,Spain,21,61,Rayo Vallecano,182.0,73.0,Left,LM,0.8,264,290,283,238,243,128,Normal
9212,22Aguirre,Spain,21,60,Rayo Vallecano,180.0,75.0,Left,LM,0.6,270,292,300,273,239,101,Normal
9213,22Gimeno,Spain,20,60,Rayo Vallecano,180.0,75.0,Right,CB,0.55,209,193,282,255,213,179,Normal
9214,H. Carneil,Sweden,22,63,Halmstads BK,176.0,74.0,Right,CAM,1.1,248,268,348,257,228,70,Normal
9215,22S. Benítez,Paraguay,20,59,General Bernardino Caballero,168.0,71.0,Right,CAM,0.5,244,272,341,265,282,139,Normal
9216,23G. Verón,Paraguay,20,59,Sol de América,174.0,62.0,Right,ST,0.45,284,279,322,300,259,151,Lean
9217,D. Sîrbu,Romania,22,65,FCV Farul Constanța,186.0,79.0,Right,RWB,1.1,246,279,325,303,272,183,Normal
9218,24S. Djeffal,France,24,61,Austin FC,182.0,69.0,Right,CAM,0.47500000000000003,277,301,332,293,296,156,Normal
9219,I. Murphy,United States,25,67,Colorado Rapids,188.0,74.0,Left,CB,1.3,226,222,308,267,250,210,Lean
9220,24E. Shabani,Albania,20,59,1. FSV Mainz,181.0,79.0,Left,CAM,0.6,258,280,306,293,272,164,Normal
9221,25Y. López,Uruguay,22,62,Liverpool FC Uruguay,171.0,68.0,Right,CM,0.9,258,295,324,241,272,171,Normal
9222,24L. Cvek,Croatia,27,66,CFR Cluj,183.0,79.0,Right,CB,0.875,264,240,299,351,261,197,Normal
9223,24H. Bright,Wales,19,55,Newport County,179.0,67.0,Right,RWB,0.25,223,239,324,225,224,147,Lean
9224,23W. Mora,Ecuador,20,59,Mushuc Runa,185.0,71.0,Right,CAM,0.5,278,286,325,273,269,127,Lean
9225,25P. Schulz,Germany,19,62,SC Verl,185.0,80.0,Right,CB,0.875,243,253,288,282,261,182,Normal
9226,26David García,Spain,21,61,Cádiz CF,183.0,77.0,Right,CM,0.8,272,286,292,309,279,167,Normal
9227,24H. Fox,England,18,52,Swindon Town,175.0,66.0,Left,LB,0.16,178,196,323,194,207,145,Normal
9228,24L. Adekoya,Republic of Ireland,19,56,Accrington Stanley,192.0,83.0,Right,ST,0.3,230,201,310,315,206,40,Lean
9229,24A. Moutassime,Italy,19,57,Südtirol,180.0,70.0,Left,LM,0.4,234,238,312,225,205,77,Normal
9230,D. Kyerewaa,Germany,24,66,Reading FC,173.0,72.0,Right,CAM,1.2,272,291,406,310,299,156,Lean
9231,24G. Pellegrino,Canada,19,56,Südtirol,176.0,71.0,Right,CAM,0.35000000000000003,215,239,353,254,256,161,Lean
9232,25M. Williams,Wales,19,52,AFC Wimbledon,183.0,74.0,Right,CM,0.19,227,226,306,274,235,140,Normal
9233,22T. Schirmer,Germany,18,54,Viktoria Köln,177.0,70.0,Left,LWB,0.24,193,208,334,209,225,136,Lean
9234,25M. Cissé,Guinea,20,64,FC St. Gallen,182.0,78.0,Right,ST,1.4,280,255,353,313,227,51,Lean
9235,25L. de Meester,Germany,20,60,Viktoria Köln,177.0,68.0,Right,RM,0.55,256,255,353,255,237,125,Lean
9236,T. Klidje,Togo,23,68,Randers FC,170.0,65.0,Right,ST,1.9,313,310,395,342,274,80,Normal
9237,26Miguel Sousa,Portugal,26,67,Casa Pia,176.0,68.0,Right,CAM,1.2,298,330,348,277,263,134,Normal
9238,22Diego Carioca,Brazil,23,63,Jagiellonia Białystok,180.0,70.0,Right,RM,0.725,268,262,351,310,260,91,Normal
9239,26M. Thomson,Scotland,20,59,Dundee United FC,170.0,72.0,Right,RB,0.525,281,275,354,251,272,157,Normal
9240,Tomás Mendes,Guinea-Bissau,20,62,Alverca,188.0,84.0,Right,CAM,0.9500000000000001,229,264,307,294,277,144,Normal
9241,25Álex Balboa,Equatorial Guinea,23,63,Almere City FC,181.0,74.0,Right,CAM,0.9500000000000001,242,274,317,286,298,140,Lean
9242,Andrés Castrín,Spain,22,72,Sevilla FC,188.0,83.0,Right,CB,4.9,243,239,320,297,270,212,Normal
9243,22R. Nolan,Republic of Ireland,22,59,Northampton Town,188.0,73.0,Right,CB,0.425,183,174,281,248,210,174,Lean
9244,24B. Klebaniuk,Poland,21,59,Pogoń Szczecin,191.0,79.0,Right,GK,0.45,70,70,186,171,91,30,Normal
9245,24Isra García,Spain,19,62,AD Alcorcón,182.0,68.0,Right,CAM,0.85,282,298,312,286,290,164,Normal
9246,22A. Tamang,Nepal,23,55,East Bengal FC,183.0,75.0,Right,CB,0.18,158,153,273,266,184,171,Normal
9247,25A. Bukowski,Poland,21,60,Stal Mielec,188.0,81.0,Right,CDM,0.55,222,270,285,278,258,179,Lean
9248,24A. Paz,Bolivia,20,58,Oriente Petrolero,173.0,70.0,Left,LB,0.425,255,251,313,261,256,158,Normal
9249,25J. Tapia,Chile,20,54,Unión La Calera,183.0,79.0,Right,GK,0.2,67,77,181,152,79,30,Normal
9250,24R. Jordan,Australia,23,54,Newcastle Jets,171.0,65.0,Right,CAM,0.24,237,236,321,241,226,94,Lean
9251,23D. Corpus,Bolivia,18,64,The Strongest,175.0,75.0,Right,RB,1.2,252,276,329,279,278,189,Normal
9252,23M. Méndez,Cuba,24,54,Inter Miami,188.0,76.0,Right,CB,0.2,176,157,263,257,184,160,Lean
9253,Pablo Torre,Spain,22,74,RCD Mallorca,173.0,63.0,Right,CAM,9.5,308,380,375,304,296,136,Lean
9254,23N. El Hassani,France,22,59,Chamois Niortais FC,176.0,68.0,Left,CAM,0.5,248,302,340,219,251,147,Lean
9255,22P. Doesburg,Netherlands,20,59,Sparta Rotterdam,176.0,74.0,Right,ST,0.5,266,248,331,278,216,54,Normal
9256,25H. Cribb,England,18,52,Grimsby Town,177.0,79.0,Right,CAM,0.2,216,241,312,250,233,140,Lean
9257,22O. Villa,Mexico,20,61,León,176.0,70.0,Left,LWB,0.675,226,225,319,251,248,177,Lean
9258,23E. McWoods,United States,26,55,Finn Harps,179.0,79.0,Left,ST,0.14,227,193,330,311,240,45,Stocky
9259,25J. Chalá,Ecuador,20,58,Universidad Católica del Ecuador,184.0,74.0,Right,ST,0.45,289,275,269,276,217,67,Lean
9260,23J. Capuz,Ecuador,23,57,Mushuc Runa,170.0,69.0,Right,CAM,0.375,246,293,289,310,211,168,Normal
9261,23J. Nazareno,Ecuador,23,63,Mushuc Runa,173.0,65.0,Right,CAM,0.725,287,295,322,296,296,175,Normal
9262,23R. Gareca,Bolivia,20,62,CD Jorge Wilstermann,175.0,68.0,Right,RM,0.875,265,278,322,274,260,155,Normal
9263,23D. Duffy,Republic of Ireland,19,48,Finn Harps,169.0,70.0,Left,LM,0.1,201,204,303,264,235,122,Lean
9264,26I. Maestro Puch,Argentina,21,68,Club Atlético San Martín,178.0,77.0,Right,ST,2.7,299,273,351,347,251,55,Normal
9265,26Á. Vaca,Bolivia,23,55,San Antonio Bulo Bulo,180.0,78.0,Right,ST,0.25,279,241,289,304,223,78,Normal
9266,24J. Macías,Ecuador,18,60,LDU Quito,175.0,75.0,Right,CAM,0.625,275,299,344,300,276,158,Lean
9267,22J. Kenny,Australia,17,49,Newcastle Jets,180.0,70.0,Right,GK,0.08,66,59,136,161,75,35,Normal
9268,N. Grigoryan,Armenia,24,67,FCV Farul Constanța,180.0,80.0,Left,LM,1.4,301,328,338,330,267,117,Stocky
9269,S. Abramowicz,Poland,21,69,Jagiellonia Białystok,189.0,80.0,Left,GK,2.7,60,76,206,170,95,34,Normal
9270,J. Ragen,United States,26,72,Seattle Sounders FC,198.0,91.0,Right,CB,2.6,206,228,255,300,265,214,Normal
9271,25A. Noshe,Denmark,18,54,Aalborg BK,174.0,68.0,Right,RW,0.275,213,227,366,246,233,128,Normal
9272,23Y. Chahid,France,17,55,Dijon FCO,162.0,56.0,Left,CAM,0.275,233,273,359,192,248,122,Normal
9273,23D. Isita,Bolivia,19,60,Royal Pari,177.0,75.0,Right,RM,0.5750000000000001,263,262,327,276,250,134,Lean
9274,23R. Bardales,Peru,19,61,Cienciano,182.0,75.0,Right,RB,0.675,281,281,291,281,290,171,Normal
9275,25A. Ccorahua,Peru,23,59,Sport Huancayo,177.0,74.0,Right,GK,0.425,67,80,192,175,96,51,Lean
9276,D. Romero,Ecuador,24,67,Independiente del Valle,177.0,68.0,Right,RM,1.4,264,285,379,294,291,173,Lean
9277,22J. Gaspar,Ecuador,25,63,LDU Quito,175.0,68.0,Left,ST,0.5750000000000001,289,284,355,325,246,69,Normal
9278,K. O'Toole,Republic of Ireland,26,65,New York City FC,178.0,75.0,Left,LB,0.775,268,259,340,287,259,191,Normal
9279,B. Medina,Colombia,23,68,CD Tondela,194.0,81.0,Left,CB,2.2,234,220,306,282,277,199,Normal
9280,24E. Acevedo,Colombia,20,60,América de Cali,183.0,79.0,Right,CAM,0.55,268,282,280,279,293,175,Normal
9281,23F. Cibi,Romania,17,50,UTA Arad,186.0,74.0,Right,CB,0.12,193,196,280,251,210,145,Lean
9282,23J. Burke,Sweden,20,60,Varbergs BoIS,182.0,78.0,Right,RW,0.6,240,233,357,272,204,73,Normal
9283,24M. Núñez,Paraguay,22,61,Tacuary FC,173.0,64.0,Right,ST,0.675,284,252,292,304,292,110,Normal
9284,25J. González,Paraguay,21,59,Nacional Asunción,183.0,73.0,Right,RM,0.55,280,292,305,291,275,165,Normal
9285,22E. Gueye,Germany,21,57,Holstein Kiel,178.0,72.0,Right,RM,0.325,252,250,311,227,203,115,Lean
9286,22C. Gbo,Côte d'Ivoire,18,60,Oud-Heverlee Leuven,182.0,75.0,Right,CB,0.55,210,231,321,266,254,179,Normal
9287,C. Ravych,Belgium,22,70,Cercle Brugge KSV,192.0,75.0,Right,CB,3.3,234,244,268,266,240,210,Lean
9288,X. Martlé,Belgium,21,57,Cercle Brugge KSV,172.0,60.0,Right,CAM,0.375,238,290,322,193,204,88,Normal
9289,B. Langenbick,Belgium,22,57,Cercle Brugge KSV,189.0,72.0,Right,GK,0.325,73,66,137,136,65,43,Normal
9290,L. Caicedo,Ecuador,27,69,Always Ready,187.0,90.0,Right,CB,1.3,246,227,295,299,248,208,Normal
9291,22J. García,Ecuador,20,62,Delfín SC,163.0,56.0,Right,RM,0.8,275,290,327,310,280,146,Normal
9292,23J. Medina,Ecuador,22,64,9 de Octubre,183.0,79.0,Right,RM,1.1,274,295,352,302,288,177,Normal
9293,M. Gianoli,Uruguay,24,66,Deportivo La Guaira,197.0,84.0,Left,CB,1.6,228,203,271,258,270,192,Normal
9294,26L. Correa,Uruguay,29,66,Cerro Largo,180.0,73.0,Right,CB,0.8,258,247,320,313,262,209,Normal
9295,25C. Franco,Uruguay,25,61,Montevideo Wanderers FC,185.0,75.0,Right,ST,0.45,305,273,264,329,289,95,Lean
9296,23D. Hafstad,Norway,18,53,Tromsø IL,185.0,78.0,Right,ST,0.24,238,202,309,229,214,58,Lean
9297,22K. Bauer,Germany,17,59,DSC Arminia Bielefeld,185.0,78.0,Right,CB,0.525,205,193,273,257,222,184,Normal
9298,22C. Dogan,Türkiye,16,59,DSC Arminia Bielefeld,177.0,72.0,Right,ST,0.7000000000000001,262,229,294,284,232,62,Normal
9299,S. Trimboli,Italy,23,66,Mantova,176.0,69.0,Right,CM,1.8,275,305,324,285,301,189,Normal
9300,22T. Poznar,Czechia,32,64,Bruk-Bet Termalica Nieciecza,194.0,81.0,Right,ST,0.47500000000000003,286,262,238,325,270,67,Normal
9301,26J. Ryan,Republic of Ireland,21,58,Reading FC,178.0,70.0,Left,LWB,0.425,243,274,349,271,257,156,Normal
9302,26C. Sosa,Venezuela,29,70,Deportivo Táchira,172.0,69.0,Left,CAM,1.6,318,316,345,310,294,154,Normal
9303,23R. Hernández,Venezuela,21,61,Metropolitanos FC,182.0,72.0,Left,CAM,0.525,263,275,317,304,283,174,Normal
9304,23E. Taylor,Ghana,21,55,Lillestrøm SK,175.0,70.0,Right,CAM,0.3,243,268,335,263,257,158,Normal
9305,24H. O'Brien,Republic of Ireland,22,54,UCD,192.0,84.0,Right,CB,0.13,205,193,294,270,208,159,Normal
9306,24D. Higgins,Republic of Ireland,21,54,UCD,173.0,64.0,Right,RM,0.16,228,251,317,268,257,150,Lean
9307,24A. Verdon,Republic of Ireland,21,53,UCD,190.0,75.0,Right,RM,0.14,233,242,325,261,244,134,Lean
9308,G. Vidović,Croatia,21,68,Dinamo Zagreb,180.0,77.0,Right,CAM,2.7,294,328,345,317,242,69,Lean
9309,M. Luciano,Argentina,21,66,Newell's Old Boys,170.0,67.0,Left,LWB,1.3,216,257,384,285,269,189,Normal
9310,D. Glaby,Argentina,29,66,Coquimbo Unido,181.0,80.0,Right,CDM,0.725,274,290,294,323,290,188,Normal
9311,B. Yıldırım,Türkiye,22,69,Medipol Başakşehir FK,186.0,78.0,Right,ST,3.2,309,265,313,361,292,89,Normal
9312,22R. Ochiai,Japan,22,56,Kashiwa Reysol,175.0,72.0,Right,CAM,0.325,226,288,331,192,216,122,Normal
9313,23J. Torres,Venezuela,19,61,Caracas FC,167.0,69.0,Right,CAM,0.7000000000000001,265,291,319,282,278,171,Normal
9314,23K. Andrade,Venezuela,17,65+1,Deportivo La Guaira,168.0,61.0,Right,CAM,1.5,284,301,359,277,263,136,Lean
9315,23S. Unrein,Argentina,31,64,Deportivo La Guaira,182.0,76.0,Right,ST,0.5,307,305,303,327,232,56,Normal
9316,22Erik Rafael,Spain,21,62,CD Mirandés,179.0,73.0,Right,ST,0.9,272,259,321,309,248,52,Lean
9317,23Juan Durán,Spain,21,62,CD Mirandés,180.0,74.0,Left,CB,0.775,255,239,303,265,261,189,Normal
9318,25D. González,Venezuela,20,62,Deportivo La Guaira,183.0,72.0,Right,GK,0.75,73,75,200,192,86,32,Normal
9319,23A. Rodrigues,Venezuela,20,59-1,Metropolitanos FC,181.0,79.0,Right,CAM,0.45,272,286,313,317,287,174,Normal
9320,23W. Tortolero,Venezuela,19,59,Deportivo Táchira,180.0,75.0,Right,GK,0.425,65,75,172,188,91,38,Normal
9321,22D. Ursu,Romania,17,50,Gaz Metan Mediaş,175.0,66.0,Right,CAM,0.12,219,265,300,237,215,126,Lean
9322,25J. Gutiérrez,Venezuela,26,64,Deportivo Táchira,193.0,90.0,Right,CB,0.675,191,204,245,253,223,197,Normal
9323,23A. Vera,Venezuela,20,60,Estudiantes de Mérida,161.0,61.0,Right,ST,0.5,297,298,283,322,231,60,Normal
9324,26J. Jackson,United States,25,60,FC Dallas,188.0,86.0,Right,GK,0.3,99,113,179,191,106,45,Normal
9325,25R. Spaulding,United States,25,63,New England Revolution,170.0,68.0,Left,LB,0.5750000000000001,222,226,343,246,232,189,Normal
9326,22D. Moonan,England,18,50,Accrington Stanley,177.0,68.0,Right,CDM,0.12,210,223,314,264,239,153,Lean
9327,22B. Pleavin,Wales,18,50,Accrington Stanley,183.0,70.0,Right,RM,0.12,211,239,303,256,231,144,Lean
9328,25O. Patrick,England,21,50,Accrington Stanley,180.0,74.0,Right,CAM,0.1,227,240,307,263,234,129,Normal
9329,24E. Poilly,France,18,51,Accrington Stanley,179.0,77.0,Right,CB,0.13,203,213,296,267,233,144,Lean
9330,26M. Carson,England,22,57,Grimsby Town,186.0,71.0,Left,LWB,0.21,223,276,313,286,245,159,Normal
9331,26V. Adamo,Uruguay,23,63,Boston River,191.0,78.0,Right,ST,1.1,298,262,267,316,262,65,Lean
9332,24F. Vidal,Uruguay,20,61,Club Atlético River Plate,188.0,80.0,Left,LB,0.75,228,235,296,263,239,184,Normal
9333,C. Pérez,Chile,22,68,Defensa y Justicia,176.0,66.0,Right,CAM,2.6,247,280,338,321,305,191,Normal
9334,23C. Tourish,Republic of Ireland,27,55,Finn Harps,188.0,82.0,Right,CB,0.13,163,140,199,240,197,171,Lean
9335,22O. Pérez,Mexico,19,57,Pumas UNAM,172.0,64.0,Left,LB,0.325,231,223,321,223,286,162,Lean
9336,24O. Krzyżak,Poland,21,59,Raków Częstochowa,190.0,87.0,Right,CB,0.525,209,209,269,289,213,171,Normal
9337,23J. Holtan,Norway,23,60,FK Haugesund,175.0,73.0,Right,ST,0.5,259,218,326,290,240,62,Normal
9338,22F. Gryglak,Poland,16,53,Śląsk Wrocław,180.0,73.0,Right,CDM,0.3,216,243,297,259,257,151,Normal
9339,23E. Kirkman,Chile,19,54,CD Everton de Viña del Mar,184.0,84.0,Right,GK,0.2,59,75,192,185,80,32,Lean
9340,D. Kanu,Sierra Leone,20,64,Walsall,181.0,74.0,Right,ST,1.3,285,270,372,342,251,90,Normal
9341,T. Campbell,Jamaica,21,68,Charlton Athletic,178.0,67.0,Right,RM,2.7,275,299,410,324,271,105,Normal
9342,23V. Bazán,Peru,24,62,Sport Boys,180.0,76.0,Right,ST,0.525,282,282,300,334,222,47,Normal
9343,23E. Uribe,Peru,36,64,Sport Boys,179.0,71.0,Right,CDM,0.11,263,251,313,273,280,190,Normal
9344,22Choi Jae Hyuk,Korea Republic,17,52,Jeju United FC,174.0,65.0,Right,RM,0.18,216,231,303,235,188,68,Normal
9345,Lim Jun Sub,Korea Republic,21,48,FC Seoul,194.0,90.0,Right,GK,0.06,63,67,124,161,79,35,Lean
9346,Han Jong Mu,Korea Republic,22,60,Daegu FC,179.0,70.0,Right,CAM,0.4,243,285,341,305,258,115,Normal
9347,22Kim Dong Gook,Korea Republic,17,49,Jeju United FC,178.0,67.0,Left,LM,0.11,205,215,299,245,208,119,Normal
9348,23X. Moreno,Peru,18,58,Sport Boys,177.0,79.0,Right,CAM,0.425,276,285,304,287,274,164,Normal
9349,23D. Quintela,Bolivia,20,57,Independiente Petrolero,180.0,70.0,Right,GK,0.3,70,85,192,188,87,35,Lean
9350,23R. Fernández,Bolivia,19,59,Independiente Petrolero,164.0,62.0,Right,RM,0.525,280,282,315,288,273,144,Normal
9351,23L. Barco,Venezuela,20,61+3,Inter de Barinas,174.0,69.0,Right,CM,0.725,274,258,311,290,280,178,Normal
9352,23J. Caceres,Venezuela,29,66,Academia Puerto Cabello,180.0,86.0,Right,RB,0.75,245,246,321,267,262,187,Normal
9353,23Ó. Noriega,Venezuela,33,61-1,Inter de Barinas,163.0,65.0,Right,RM,0.2,291,287,330,295,281,153,Normal
9354,22M. Pernía,Venezuela,17,58,Inter de Barinas,175.0,75.0,Right,CM,0.47500000000000003,261,271,298,278,267,163,Lean
9355,M. Ruiz,Venezuela,21,64,Universidad Central de Venezuela,171.0,61.0,Right,RM,0.875,274,335,338,303,300,176,Normal
9356,23O. Sławiński,Poland,17,54,Zagłębie Lubin,184.0,74.0,Right,ST,0.35000000000000003,226,225,301,288,213,48,Normal
9357,Tomás Mendes,Guinea-Bissau,20,62,Alverca,188.0,84.0,Right,CAM,0.9500000000000001,229,264,307,294,277,144,Normal
9358,25Álex Balboa,Equatorial Guinea,23,63,Almere City FC,181.0,74.0,Right,CAM,0.9500000000000001,242,274,317,286,298,140,Lean
9359,Andrés Castrín,Spain,22,72,Sevilla FC,188.0,83.0,Right,CB,4.9,243,239,320,297,270,212,Normal
9360,P. Quispe,Peru,23,69,Sydney FC,170.0,69.0,Right,RM,2.1,294,336,361,318,297,141,Lean
9361,T. Silva,Argentina,22,62,Platense,176.0,72.0,Left,LB,0.775,242,254,342,223,243,184,Lean
